ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,Currency,InceptionDate,ExpirationDate,Perils,LOB,Form,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,100LayerAmt,Participation Limit,DedType,DedAmt1,DedAmt2,AttachmentAmt,Premium,LimitA,LimitB,LimitC,LimitD,AttachmentA,AttachmentB,AttachmentC,AttachmentD,SublimitPerils,SublimitArea,SubLimitLimitType,SubLimitOcc,SublimitPart,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitDedType,SublimitDedAmt1,SublimitDedAmt2,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD
2023_ Salt River Pima,Salt River Pima,,UW,USA,,S,USD,7/1/2023,7/1/2024,PEF+PES+PSL+PSH+PWH+PFL+PNC,NASPR,,1000425469-04,,,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,0,,,,,,,,,,PES,EQ_ALL OTHER,B,,,,,,,MI,100000,,,,,
2023_ Salt River Pima,Salt River Pima,,UW,USA,,S,USD,7/1/2023,7/1/2024,PEF+PES+PSL+PSH+PWH+PFL+PNC,NASPR,,1000425469-04,,,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,0,,,,,,,,,,PSH+PWH,WS_ALL OTHER,B,,,,,,,MI,100000,,,,,
2023_ Salt River Pima,Salt River Pima,,UW,USA,,S,USD,7/1/2023,7/1/2024,PEF+PES+PSL+PSH+PWH+PFL+PNC,NASPR,,1000425469-04,,,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,0,,,,,,,,,,PFL,FLOOD_ALL,B,,,,,,,MI,,,,,,
2023_ Salt River Pima,Salt River Pima,,UW,USA,,S,USD,7/1/2023,7/1/2024,PEF+PES+PSL+PSH+PWH+PFL+PNC,NASPR,,1000425469-04,,,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,0,,,,,,,,,,PNC,FR_ALL,B,,,,,,,MI,,,,,,
