ContractID,LocationID,LocationName,LocationGroup,IsPrimary,IsTenant,ISOBIN,InceptionDate,ExpirationDate,Street,City,County,SubArea2,State,CRESTA,PostalCode,COUNTRYISO,Latitude,Longitude,BuildingValue,OtherValue,ContentsValue,TimeElementValue,DaysCovered,Currency,RiskCount,LocPremium,ConstructionCodeType,ConstructionCode,ConstructionOther,OccupancyCodeType,OccupancyCode,YearBuilt,NumberOfStories,GrossArea,GrossAreaUnit,LocPerils1,LocLimitType1,LimitBldg1,LimitOther1,LimitContent1,LimitTime1,DeductType1,DeductBldg1,DeductOther1,DeductContent1,DeductTime1,SublimitArea1,LocPerils2,LocLimitType2,LimitBldg2,LimitOther2,LimitContent2,LimitTime2,DeductType2,DeductBldg2,DeductOther2,DeductContent2,DeductTime2,SublimitArea2,LocPerils3,LocLimitType3,LimitBldg3,LimitOther3,LimitContent3,LimitTime3,DeductType3,DeductBldg3,DeductOther3,DeductContent3,DeductTime3,SublimitArea3,LocPerils4,LocLimitType4,LimitBldg4,LimitOther4,LimitContent4,LimitTime4,DeductType4,DeductBldg4,DeductOther4,DeductContent4,DeductTime4,SublimitArea4,LocPerils5,LocLimitType5,LimitBldg5,LimitOther5,LimitContent5,LimitTime5,DeductType5,DeductBldg5,DeductOther5,DeductContent5,DeductTime5,SublimitArea5,FloorOfInterest,FloorArea,FloorAreaUnitCode,FloorsOccupied,BuildingCondition,BuildingShape,Torsion,SoftStory,ShapeIrregularity,SpecialConstruction,Retrofit,ShortColumn,Ornamentation,WaterHeater,Redundancy,TallOneStory,Equipment,SealofApproval,IsValueType,LatticeType,MultiStoryHallType,Welding,BasementLevelCount,BasementFinishType,FirstFloorHeight,ServiceEquipmentProtection,FIRMCompliance,ContentVulnerability,Certified Structures (IBHS),Fire Sprinklers,RoofGeometry,RoofPitch,RoofCover,RoofDeck,RoofCoverAttachment,RoofDeckAttachment,RoofAnchorage,RoofYearBuilt,Tanks,RoofHailImpactResistance,Chimney,WallType,WallSiding,GlassType,GlassPercent,WindowProtection,ExternalDoors,BuildingExteriorOpenings,BrickVeneer,RoofAttachedStructure,TransitionInSRC,ColdFormedtube,ColumnBasement,FoundationConnection,FoundationType,InternalPartition,AttachedStructures,AppurtenantStructures,Pounding,TreeExposure,SmallDebris,LargeMissile,TerrainRoughness,AdjacentBuildingHeight,CustomFloodSOP,CustomFloodZone,CustomElevation,BaseFloodElevation,ProjectCompletion,ProjectPhaseCode,UDF1,UDF2,UDF3,UDF4,UDF5,MSB_Occupancy_Mapping,MSB_Construction_mapping,MSB_Building_Value,MSB_Value_Per_Sq_Ft,MSB $ Deviation,MSB % Deviation,Location_sent,Parameter_for_No,Location_ID,Report_ID,Elevation,FloodScopeDepth,FloodScopeRtp,HeightAboveInlandWater,HeightAboveOcean,HeightOfMinSurge,InlandWaterDistance,IsInCoverage,MinStormCat,OceanDistance,RiskScore,StormFrequency,SurgeCat0Height,SurgeCat1Height,SurgeCat2Height,SurgeCat3Height,SurgeCat4Height,SurgeCat5Height,SurgeFloodDepth,WorldFloodDepth,WorldFloodRtp,heightAboveFloodScope100,floodScope100Distance,Indicator,Error
2023_ Salt River Pima,122,SRPMIC,,,,,7/1/2023,7/1/2024,1779 LONGMORE,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.467842,-111.86534,774421.8663,,23841.72078,187972.3856,365,USD,1,,AIR,100,,AIR,317,,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,372.031,0,,-0.391,,,1225.068,1,Outside Coverage Area,,37,,,,,,,,0,0,,-1.331,82.648,Ecopia,
2023_ Salt River Pima,123,SRPMIC,,,,,7/1/2023,7/1/2024,1759 LONGMORE,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.46759,-111.86396,681969.2211,,20995.42957,165531.7172,365,USD,1,,AIR,100,,AIR,346,1990,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,372.343,0,,3.428,,,1291.734,1,Outside Coverage Area,,23,,,,,,,,0,0,,-1.284,149.158,Ecopia,
2023_ Salt River Pima,124,SRPMIC,,,,,7/1/2023,7/1/2024,1755 LONGMORE,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.467842,-111.86534,298570.8724,,9191.94522,72470.93812,365,USD,1,,AIR,100,,AIR,313,1990,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,372.031,0,,-0.391,,,1225.068,1,Outside Coverage Area,,37,,,,,,,,0,0,,-1.331,82.648,Ecopia,
2023_ Salt River Pima,125,SRPMIC,,,,,7/1/2023,7/1/2024,1755 LONGMORE,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.467842,-111.86534,298570.8724,,9191.94522,72470.93812,365,USD,1,,AIR,100,,AIR,313,1990,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,372.031,0,,-0.391,,,1225.068,1,Outside Coverage Area,,37,,,,,,,,0,0,,-1.331,82.648,Ecopia,
2023_ Salt River Pima,126,SRPMIC,,,,,7/1/2023,7/1/2024,10334 MCKELLIPS,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.45655,-111.85864,397851.7856,,12248.45475,96569.00522,365,USD,1,,AIR,100,,AIR,313,2004,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,368.295,0,,1.684,,,77.812,1,Outside Coverage Area,,64,,,,,,,,0,0.5,20,-0.201,65.259,Ecopia,
2023_ Salt River Pima,127,SRPMIC,,,,,7/1/2023,7/1/2024,11471 INDIAN SCHOOL,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.494587,-111.83362,4819090.591,,148362.8205,1169718.979,365,USD,1,,AIR,100,,AIR,343,,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,385.122,0,,6.105,,,283.502,1,Outside Coverage Area,,19,,,,,,,,0,0,,-4.892,971.179,Ecopia,
2023_ Salt River Pima,128,SRPMIC,,,,,7/1/2023,7/1/2024,10190 MCKELLIPS,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.455467,-111.86191,1176297.597,,36214.05863,285518.1073,365,USD,1,,AIR,100,,AIR,343,,0,0,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Invalid Floor Area,,,367.393,0,,-0.046,,,7.623,1,Outside Coverage Area,,68,,,,,,,,0,0.6,20,1.576,226.737,Ecopia,
2023_ Salt River Pima,129,SRPMIC,,,,,7/1/2023,7/1/2024,10901 MCDOWELL,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.464386,-111.84533,141189772.1,,8259312.255,35191760.42,365,USD,1,,AIR,131,,AIR,316,2022,3,195000,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,1,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,5200,6,57782943.51,296.3227872,-83406828.58,-59.07427099,Yes,,21324384,ESTIMATE-1319504,371.024,0.31,20,5.655,,,413.644,1,Outside Coverage Area,,87,,,,,,,,0,1.1,20,-1.79,0,Ecopia,
2023_ Salt River Pima,130,SRPMIC School,,,,,7/1/2023,7/1/2024,11381 CHAPARRAL,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.50829,-111.83543,1357967.753,,41807.04266,329614.1924,365,USD,1,,AIR,100,,AIR,346,2011,0,6000,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Construction mapping does not exist in master table ,,,391.633,0.95,100,-1.484,,,224.72,1,Outside Coverage Area,,58,,,,,,,,0,0,,-0.95,0,Ecopia,
2023_ Salt River Pima,131,SRPMIC School,,,,,7/1/2023,7/1/2024,11470 HIGHLAND,SCOTTSDALE,Maricopa,,AZ,,85256,US,33.506493,-111.83357,253040.3212,,7790.21997,61419.48581,365,USD,1,,AIR,100,,AIR,346,2012,0,1440,SQFT,PEF+PES+PSL,,,,,,,,,,,EQ_ALL OTHER,PSH+PWH,,,,,,,,,,,WS_ALL OTHER,PFL,,,,,,,,,,,Flood_All,PNC,,,,,,,,,,,FR_All,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,0,,0,,,,,,,,,0,,,,0,0,,0,,,0,0,0,,,,0,0,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,All Other,All Other,,,,,,,,,,No,Construction mapping does not exist in master table ,,,390.907,0.54,100,-1.904,,,336.223,1,Outside Coverage Area,,58,,,,,,,,0,0,,-0.54,0,Ecopia,
