ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,Currency,InceptionDate,ExpirationDate,Perils,LOB,Form,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,100LayerAmt,Participation Limit,DedType,DedAmt1,DedAmt2,AttachmentAmt,Premium,LimitA,LimitB,LimitC,LimitD,AttachmentA,AttachmentB,AttachmentC,AttachmentD,SublimitPerils,SublimitArea,SubLimitLimitType,SubLimitOcc,SublimitPart,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitDedType,SublimitDedAmt1,SublimitDedAmt2,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD,
2023_CJ Segerstrom,CJ Segerstrom,,UW,USA,,S,USD,6/1/2023,6/1/2024,PEF+PES+PSH+PWH+PFL+PNC+PSL,NASPR,,1000479302-03,,,,,1,PEF+PES+PSH+PWH+PFL+PNC+PSL,E,30000000,30000000,,,,0,,,,,,,,,,PES,EQ_CA,B,,,,,,,MI,100000,,,,,,
2023_CJ Segerstrom,CJ Segerstrom,,UW,USA,,S,USD,6/1/2023,6/1/2024,PEF+PES+PSH+PWH+PFL+PNC+PSL,NASPR,,1000479302-03,,,,,1,PEF+PES+PSH+PWH+PFL+PNC+PSL,E,30000000,30000000,,,,0,,,,,,,,,,PSH+PWH,WS_ALL OTHER,B,,,,,,,MI,25000,,,,,,
2023_CJ Segerstrom,CJ Segerstrom,,UW,USA,,S,USD,6/1/2023,6/1/2024,PEF+PES+PSH+PWH+PFL+PNC+PSL,NASPR,,1000479302-03,,,,,1,PEF+PES+PSH+PWH+PFL+PNC+PSL,E,30000000,30000000,,,,0,,,,,,,,,,PFL,FLOOD_ALL,B,,,,,,,MI,,,,,,,
2023_CJ Segerstrom,CJ Segerstrom,,UW,USA,,S,USD,6/1/2023,6/1/2024,PEF+PES+PSH+PWH+PFL+PNC+PSL,NASPR,,1000479302-03,,,,,1,PEF+PES+PSH+PWH+PFL+PNC+PSL,E,30000000,30000000,,,,0,,,,,,,,,,PNC,FR_ALL,B,,,,,,,MI,,,,,,,
