ContractID,InsuredName,Producer,Underwriter,Branch,ExpiringContract,Status,Currency,InceptionDate,ExpirationDate,Perils,LOB,Form,UDF1,UDF2,UDF3,UDF4,UDF5,LayerID,LayerPerils,LimitType,100LayerAmt,Participation Limit,DedType,DedAmt1,DedAmt2,AttachmentAmt,Premium,LimitA,LimitB,LimitC,LimitD,AttachmentA,AttachmentB,AttachmentC,AttachmentD,SublimitPerils,SublimitArea,SubLimitLimitType,SubLimitOcc,SublimitPart,SublimitLimitA,SublimitLimitB,SublimitLimitC,SublimitLimitD,SublimitDedType,SublimitDedAmt1,SublimitDedAmt2,SublimitAttachA,SublimitAttachB,SublimitAttachC,SublimitAttachD
2025_Fundamental Advisors,Bermuda_EQSXL_Fundamental Advisors Test,,UW,Bermuda,,S,USD,10/30/2025,10/30/2026,PEF+PES+PSL+PSH+PWH+PFL+PNC,EQSXL,,1000728877-01,Bound,0.05,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,50000000,,,,,,,,,,PES,EQ_ALL OTHER,B,,,,,,,MI,250000,,,,,
2025_Fundamental Advisors,Bermuda_EQSXL_Fundamental Advisors Test,,UW,Bermuda,,S,USD,10/30/2025,10/30/2026,PEF+PES+PSL+PSH+PWH+PFL+PNC,EQSXL,,1000728877-01,Bound,0.05,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,50000000,,,,,,,,,,PES,EQ_CA,B,1,,,,,,MI,250000,,,,,
2025_Fundamental Advisors,Bermuda_EQSXL_Fundamental Advisors Test,,UW,Bermuda,,S,USD,10/30/2025,10/30/2026,PEF+PES+PSL+PSH+PWH+PFL+PNC,EQSXL,,1000728877-01,Bound,0.05,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,50000000,,,,,,,,,,PSH+PWH,WS_ALL OTHER,B,,,,,,,MI,250000,,,,,
2025_Fundamental Advisors,Bermuda_EQSXL_Fundamental Advisors Test,,UW,Bermuda,,S,USD,10/30/2025,10/30/2026,PEF+PES+PSL+PSH+PWH+PFL+PNC,EQSXL,,1000728877-01,Bound,0.05,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,50000000,,,,,,,,,,PSH+PWH,WS_TIER1,B,,,,,,,MI,250000,,,,,
2025_Fundamental Advisors,Bermuda_EQSXL_Fundamental Advisors Test,,UW,Bermuda,,S,USD,10/30/2025,10/30/2026,PEF+PES+PSL+PSH+PWH+PFL+PNC,EQSXL,,1000728877-01,Bound,0.05,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,50000000,,,,,,,,,,PFL,FLOOD_ALL,B,,,,,,,MI,,,,,,
2025_Fundamental Advisors,Bermuda_EQSXL_Fundamental Advisors Test,,UW,Bermuda,,S,USD,10/30/2025,10/30/2026,PEF+PES+PSL+PSH+PWH+PFL+PNC,EQSXL,,1000728877-01,Bound,0.05,,,1,PEF+PES+PSL+PSH+PWH+PFL+PNC,E,25000000,25000000,,,,50000000,,,,,,,,,,PNC,FR_ALL,B,,,,,,,MI,,,,,,
